Devonte',Graham,PG,26,NOP,0.592653509,28.44736842,0.691,0.172,1.9,7.3,21,1.6,0.5,10.7,19.5,0.341,0.413,0.843
Malik,Monk,SG,23,LAL,0.586348684,28.14473684,0.535,0.142,1.9,11,15.2,1.4,1.2,12.2,20.1,0.391,0.568,0.795
Kelly,Oubre Jr.,SF,26,CHO,0.547971491,26.30263158,0.593,0.203,4.1,12,6.2,1.8,1.5,6.2,23,0.345,0.578,0.667
Steven,Adams,C,28,MEM,0.547971491,26.30263158,0.003,0.518,17.9,22,16.1,1.6,2.7,19.6,12,0,0.548,0.543
Ivica,Zubac,C,24,LAC,0.507675439,24.36842105,0,0.459,12.8,23.7,9.8,1,3.5,16.1,16.8,,0.626,0.727
Georges,Niang,PF,28,PHI,0.475877193,22.84210526,0.687,0.105,1.6,11.3,8.7,0.9,0.7,9.1,16.8,0.403,0.511,0.881
Tyrese,Maxey,PG,21,PHI,0.736111111,35.33333333,0.311,0.247,1.1,8.9,19.1,1,1.1,7.4,20.2,0.427,0.512,0.866
LaMelo,Ball,PG,20,CHO,0.672777778,32.29333333,0.451,0.194,4.7,17.4,35.7,2.4,1.2,15.3,28.2,0.389,0.462,0.872
Keldon,Johnson,SF,22,SAS,0.664444444,31.89333333,0.395,0.231,3.5,16.7,9.5,1.2,0.5,7.6,21.3,0.398,0.51,0.756
Aaron,Gordon,PF,26,DEN,0.66,31.68,0.312,0.276,6.1,14.3,11.6,0.9,1.7,12.5,19.7,0.335,0.605,0.743
Reggie,Jackson,SG,31,LAC,0.649166667,31.16,0.419,0.133,1.8,10.2,24.6,1.2,0.5,11.8,27.6,0.326,0.439,0.847
Monte,Morris,PG,26,DEN,0.621944444,29.85333333,0.406,0.109,1.4,9.6,21.4,1.2,0.6,8.8,17.4,0.395,0.545,0.869
Davion,Mitchell,PG,23,SAC,0.576666667,27.68,0.38,0.101,1.7,7,22.5,1.3,1,11.5,20.6,0.316,0.48,0.659
